campaign_id,artist_id,release_id,campaign_name,platform,objective,start_date,end_date,total_budget
1,1,1,Neon Bones — Streams Boost,TikTok,streams,2022-07-01,2022-08-12,1550.35
2,1,2,Wild Horizon — Follower Growth,Google,followers,2024-12-12,2025-01-30,915.95
3,2,5,Golden Roses — Follower Growth,Google,followers,2023-09-25,2023-11-06,2628.70
4,3,10,Lonely Ghosts — Pre-Save Drive,YouTube,pre-save,2023-10-20,2023-12-01,2295.67
5,3,11,Iron Bones — Release Campaign,Spotify Ad Studio,awareness,2021-12-08,2022-01-26,2692.22
6,4,16,Hollow Vibes — Release Campaign,Spotify Ad Studio,awareness,2022-01-29,2022-03-12,11061.89
7,5,19,Paper Shadows — Awareness Push,Meta,streams,2023-08-05,2023-09-16,1393.86
8,5,20,Midnight Ghosts — Streams Boost,TikTok,followers,2023-11-04,2023-12-23,1646.99
9,6,23,Sunken Sirens — Streams Boost,TikTok,followers,2023-02-14,2023-03-28,1353.37
10,7,28,Electric Echoes — Follower Growth,Google,pre-save,2022-11-12,2022-12-24,925.89
11,7,29,Golden Shadows — Pre-Save Drive,YouTube,awareness,2024-11-05,2024-12-24,1469.35
12,8,34,Crimson Ravens — Pre-Save Drive,YouTube,awareness,2022-12-20,2023-01-31,9968.29
13,9,37,Broken Wolves — Release Campaign,Spotify Ad Studio,streams,2022-03-17,2022-04-28,2237.23
14,9,38,Hollow Echoes — Awareness Push,Meta,followers,2024-11-16,2025-01-04,1079.00
15,10,41,Solar Youth — Awareness Push,Meta,followers,2022-05-11,2022-06-22,1383.31
16,11,46,Amber Vultures — Streams Boost,TikTok,pre-save,2024-04-16,2024-05-28,979.56
17,11,47,Sunken Wolves — Follower Growth,Google,awareness,2023-04-28,2023-06-16,1647.87
18,12,52,Glass Hearts — Follower Growth,Google,awareness,2022-05-16,2022-06-27,13870.13
19,13,55,Restless Phantoms — Pre-Save Drive,YouTube,streams,2025-08-15,2025-09-26,1759.65
20,13,56,Crimson Vultures — Release Campaign,Spotify Ad Studio,followers,2022-11-15,2023-01-03,1896.29
21,14,59,Velvet Saints — Release Campaign,Spotify Ad Studio,followers,2024-11-25,2025-01-06,1502.52
22,15,64,Silver Rebels — Awareness Push,Meta,pre-save,2022-01-20,2022-03-03,923.73
23,15,65,Solar Phantoms — Streams Boost,TikTok,awareness,2023-10-18,2023-12-06,1011.10
24,16,70,Wild Waves — Streams Boost,TikTok,awareness,2022-04-16,2022-05-28,7382.95
25,17,73,Static Tides — Follower Growth,Google,streams,2025-09-07,2025-10-19,1188.21
26,17,74,Glass Rebels — Pre-Save Drive,YouTube,followers,2022-04-05,2022-05-24,2688.15
27,18,77,Iron Riot — Pre-Save Drive,YouTube,followers,2022-05-16,2022-06-27,1776.13
28,19,82,Sacred Horizon — Release Campaign,Spotify Ad Studio,pre-save,2026-03-07,2026-04-18,1716.19
29,19,83,Velvet Tides — Awareness Push,Meta,awareness,2021-10-09,2021-11-27,2352.58
30,20,88,Midnight Foxes — Awareness Push,Meta,awareness,2022-04-09,2022-05-21,11276.33
31,21,91,Neon Bones — Streams Boost,TikTok,streams,2023-04-05,2023-05-17,2613.82
32,21,92,Wild Horizon — Follower Growth,Google,followers,2022-05-21,2022-07-09,2226.19
33,22,95,Golden Roses — Follower Growth,Google,followers,2024-09-03,2024-10-15,2389.46
34,23,100,Lonely Ghosts — Pre-Save Drive,YouTube,pre-save,2025-06-12,2025-07-24,2568.73
35,23,101,Iron Bones — Release Campaign,Spotify Ad Studio,awareness,2021-09-14,2021-11-02,1175.28
36,24,106,Hollow Vibes — Release Campaign,Spotify Ad Studio,awareness,2023-05-28,2023-07-09,14241.12
37,25,109,Paper Shadows — Awareness Push,Meta,streams,2026-06-10,2026-07-22,1725.20
38,25,110,Midnight Ghosts — Streams Boost,TikTok,followers,2023-07-29,2023-09-16,1515.40
39,26,113,Sunken Sirens — Streams Boost,TikTok,followers,2023-04-24,2023-06-05,1501.37
40,27,118,Electric Echoes — Follower Growth,Google,pre-save,2022-05-15,2022-06-26,2060.67
41,27,119,Golden Shadows — Pre-Save Drive,YouTube,awareness,2023-06-30,2023-08-18,1299.21
42,28,124,Crimson Ravens — Pre-Save Drive,YouTube,awareness,2022-05-13,2022-06-24,6475.03
43,29,127,Broken Wolves — Release Campaign,Spotify Ad Studio,streams,2023-02-14,2023-03-28,1272.70
44,29,128,Hollow Echoes — Awareness Push,Meta,followers,2025-09-08,2025-10-27,1821.31
45,30,131,Solar Youth — Awareness Push,Meta,followers,2024-01-27,2024-03-09,2588.45
46,31,136,Amber Vultures — Streams Boost,TikTok,pre-save,2022-07-12,2022-08-23,1178.29
47,31,137,Sunken Wolves — Follower Growth,Google,awareness,2024-02-08,2024-03-28,2626.14
48,32,142,Glass Hearts — Follower Growth,Google,awareness,2026-04-11,2026-05-23,7977.60
49,33,145,Restless Phantoms — Pre-Save Drive,YouTube,streams,2022-11-15,2022-12-27,2300.59
50,33,146,Crimson Vultures — Release Campaign,Spotify Ad Studio,followers,2025-02-14,2025-04-04,2515.56
